Date,AA,INTC,JPM,PG,^GSPC
02/22/2022,71.60157775878906,41.76420974731445,139.74273681640625,146.53659057617188,4304.759765625
02/23/2022,72.79027557373047,41.72683334350586,136.81668090820312,144.70872497558594,4225.5
02/24/2022,70.83812713623047,43.661319732666016,133.00729370117188,140.81170654296875,4288.7001953125
02/25/2022,75.23529815673828,44.58650207519531,136.15415954589844,146.82424926757812,4384.64990234375
02/28/2022,72.80958557128906,44.57715606689453,130.47686767578125,144.64376831054688,4373.93994140625
03/01/2022,77.1004638671875,43.754764556884766,125.55406188964844,142.24989318847656,4306.259765625
03/02/2022,79.78709411621094,45.670555114746094,128.15806579589844,142.69525146484375,4386.5400390625
03/03/2022,80.10602569580078,44.79209899902344,127.24713134765625,143.22415161132812,4363.490234375
03/04/2022,87.61506652832031,44.92293167114258,123.6677474975586,143.9478759765625,4328.8701171875
03/07/2022,82.62287139892578,44.55846405029297,118.89221954345703,141.81381225585938,4201.08984375
03/08/2022,79.69139099121094,44.39025115966797,118.05487823486328,136.20025634765625,4170.7001953125
03/09/2022,76.9340591430664,44.51173782348633,122.784423828125,138.0374298095703,4277.8798828125
03/10/2022,80.24285888671875,43.60524368286133,121.33061218261719,134.48373413085938,4259.52001953125
03/11/2022,76.46968841552734,42.8295783996582,118.59774780273438,132.8878173828125,4204.31005859375
03/14/2022,71.1098403930664,41.49319839477539,119.77555084228516,134.58578491210938,4173.10986328125
03/15/2022,71.31300354003906,41.87635803222656,121.90108489990234,139.42919921875,4262.4501953125
03/16/2022,73.17057800292969,43.577205657958984,127.34835052490234,138.9560089111328,4357.85986328125
03/17/2022,78.10470581054688,44.05381774902344,128.95860290527344,139.39208984375,4411.669921875
03/18/2022,79.75912475585938,44.3435173034668,128.91259765625,139.31785583496094,4463.1201171875
03/21/2022,87.74082946777344,44.287445068359375,128.49856567382812,139.8467559814453,4461.18017578125
03/22/2022,86.95716094970703,45.22197723388672,131.2313995361328,140.9230499267578,4511.60986328125
03/23/2022,91.15602111816406,45.10983657836914,128.61814880371094,139.93954467773438,4456.240234375
03/24/2022,91.96871185302734,48.24052047729492,129.4554901123047,140.18075561523438,4520.16015625
03/25/2022,88.96952056884766,48.436767578125,130.5872344970703,141.80450439453125,4543.06005859375
03/28/2022,89.4532699584961,48.137718200683594,129.62110900878906,142.77880859375,4575.52001953125
03/29/2022,87.14097595214844,48.82927322387695,129.9063720703125,144.24481201171875,4631.60009765625
03/30/2022,89.19206237792969,48.062950134277344,129.3174591064453,143.25196838378906,4602.4501953125
03/31/2022,87.10228729248047,46.31538391113281,125.43444061279297,141.77667236328125,4530.41015625
04/01/2022,87.67310333251953,44.96031188964844,124.50509643554688,143.90147399902344,4545.85986328125
04/04/2022,87.94400024414062,45.97895431518555,125.05720520019531,142.96434020996094,4582.64013671875
04/05/2022,84.85773468017578,44.97900390625,123.60183715820312,143.4654083251953,4525.1201171875
04/06/2022,84.87709045410156,44.42763137817383,121.886962890625,145.51597595214844,4481.14990234375
04/07/2022,83.30008697509766,44.446319580078125,121.51618194580078,147.3995361328125,4500.2099609375
04/08/2022,81.41349792480469,43.941673278808594,123.74089813232422,148.55006408691406,4488.27978515625
04/11/2022,79.84619140625,43.5211296081543,123.28668212890625,147.98403930664062,4412.52978515625
04/12/2022,80.55245208740234,43.455718994140625,121.93329620361328,147.53866577148438,4397.4501953125
04/13/2022,84.57716369628906,43.93232345581055,118.00296783447266,147.9562225341797,4446.58984375
04/14/2022,84.91578674316406,42.6800537109375,116.90914916992188,147.13043212890625,4392.58984375
04/18/2022,86.54115295410156,43.5865478515625,119.0782470703125,145.72935485839844,4391.68994140625
04/19/2022,83.76448822021484,44.79209899902344,121.5439682006836,147.9098358154297,4462.2099609375
04/20/2022,84.10310363769531,44.96031188964844,121.97038269042969,151.8439483642578,4459.4501953125
04/21/2022,69.85211181640625,44.39025115966797,121.02488708496094,151.72544860839844,4393.66015625
04/22/2022,65.17919158935547,43.493099212646484,117.54873657226562,150.4564971923828,4271.77978515625
04/25/2022,65.17919158935547,43.97905731201172,117.51167297363281,151.66946411132812,4296.1201171875
04/26/2022,64.79218292236328,42.53987503051758,114.0355453491211,149.09422302246094,4175.2001953125
04/27/2022,67.71398162841797,42.259517669677734,112.55237579345703,148.69302368164062,4183.9599609375
04/28/2022,68.22673034667969,43.773460388183594,114.3321762084961,152.47190856933594,4287.5
04/29/2022,65.59520721435547,40.73623275756836,110.6428451538086,149.80332946777344,4131.93017578125
05/02/2022,64.0085220336914,42.01654052734375,111.65325164794922,147.77859497070312,4155.3798828125
05/03/2022,62.55730056762695,42.10999298095703,114.04481506347656,145.75384521484375,4175.47998046875
05/04/2022,65.75,43.493099212646484,117.81757354736328,146.82687377929688,4300.169921875
05/05/2022,61.39632797241211,42.00957489013672,114.86981201171875,144.1210174560547,4146.8701171875
05/06/2022,59.055023193359375,41.72699737548828,114.68441772460938,145.5579071044922,4123.33984375
05/09/2022,52.4471321105957,40.56843566894531,112.96025848388672,145.1940155029297,3991.239990234375
05/10/2022,54.02412033081055,41.4538459777832,110.20716094970703,144.42889404296875,4001.050048828125
05/11/2022,54.81745529174805,40.342376708984375,109.5119400024414,142.39483642578125,3935.179931640625
05/12/2022,52.80510711669922,40.35179901123047,109.41925048828125,141.81631469726562,3930.080078125
05/13/2022,56.43314743041992,41.067649841308594,110.39257049560547,143.33721923828125,4023.889892578125
05/16/2022,58.419891357421875,40.57786178588867,109.6231918334961,144.73678588867188,4008.010009765625
